,recommended,review_text
1,0,sure lost flat characters audience nearly half walked 
2,0,attempting artiness black white clever camera angles movie disappointed became even ridiculous acting poor plot lines almost non-existent 
3,0,little music anything speak 
4,1,best scene movie gerardo trying find song keeps running head 
5,0,rest movie lacks art charm meaning emptiness works guess empty 
6,0,wasted two hours 
7,1,saw movie today thought good effort good messages kids 
8,0,bit predictable 
9,1,loved casting jimmy buffet science teacher 
10,1,baby owls adorable 
11,1,movie showed lot florida best made look appealing 
12,1,songs best muppets hilarious 
13,1,cool 
14,1,`` right case '' movie delivers everything almost right face 
15,0,average acting main person low budget clearly see 
16,1,review long overdue since consider tale two sisters single greatest film ever made 
17,1,put gem movie terms screenplay cinematography acting post-production editing directing aspect film-making 
18,1,practically perfect  true masterpiece sea faux `` masterpieces '' 
19,1,structure film easily tightly constructed history cinema 
20,1,think film something vitally important occurs every minute 
21,1,words content level film enough easily fill dozen films 
22,1,anyone right mind ask anything movie 
23,1,quite simply highest superlative form cinema imaginable 
24,1,yes film require rather significant amount puzzle-solving pieces fit together create beautiful picture 
25,0,short film certainly pulls punches 
26,0,graphics far best part game 
27,1,number one best th game series 
28,1,deserves strong love 
29,1,insane game 
30,1,massive levels massive unlockable characters massive game 
31,1,waste money game 
32,1,kind money wasted properly 
33,1,actually graphics good time 
34,0,today graphics crap 
35,1,say canada fun game aye 
36,1,game rocks 
37,1,buy play enjoy love 
38,1,pure brilliance 
39,0,flick doomed conception 
40,0,idea lame take minor character mediocre pg-13 film make complete non-sequel changing tone pg-rated family movie 
41,0,least bit interested 
42,0,confirm film would unfunny generic also managed give away entire movie 'm exaggerating every moment every plot point every joke told trailer 
43,0,funny 
44,0,even talented carrell save 
45,0,co-stars fare much better people like morgan freeman jonah hill ed helms wasted 
46,0,story predictable lazy 
47,0,real effects work presence animals integration scenes worst obvious blue/green-screen work 've ever seen 
48,0,whatever cost much translate quality sure 
49,1,film succeeds despite perhaps obviously meagre budget 
50,1,'m glad film go obvious choice lesser film certainly would 
51,1,addition one lovely songs ever written french cancan also boasts one cutest leading ladies ever grace screen 
52,1,hard fall head-over-heels love girl 
53,0,negative insipid enough cause regret another 2 hours life wasted front screen 
54,0,long whiny pointless 
55,0,recommend waiting future efforts let one go 
56,1,excellent cast story line performances 
57,1,totally believable 
58,1,anne heche utterly convincing 
59,1,sam shepard portrayal gung ho marine sobering 
60,1,sat riveted tv screen 
61,1,give one resounding 9 10 
62,1,think tom hanks good actor 
63,1,enjoyed reading book children little 
64,0,disappointed movie 
65,0,one character totally annoying voice gives feeling fingernails chalkboard 
66,0,totally unnecessary train/roller coaster scene 
67,0,absolutely warmth charm scenes characters 
68,0,movie totally grates nerves 
69,0,performances improved improvisation actors twice much worry whether delivering line well whether line good 
70,0,quite honestly often good 
71,0,often dialogue really follow one line another fit surroundings 
72,0,crackles unpredictable youthful energy honestly found hard follow concentrate meanders badly 
73,1,generally great things 
74,0,would say worth 2 hours time though 
75,1,suspense builders good cross line g pg 
76,1,especially liked non-cliche choices parents movies could predict dialog verbatim writing movie made better selections 
77,1,want movie gross gives chills great choice 
78,1,alexander nevsky great film 
79,1,amazing film artist one important whoever lived 
80,0,'m glad pretentious piece planned dodge stratus big shots gon na help movie makers restrained `` movie business '' québec 
81,1,first movie 've given 10 years 
82,1,ever movie needed word-of-mouth promote 
83,1,overall film interesting thought-provoking 
84,1,plus well-paced suited relatively short run time 
85,1,give one look 
86,1,gave 10 
87,1,wind lion well written superbly acted 
88,1,true classic 
89,1,actually turned pretty decent far b-list horror/suspense films go 
90,1,definitely worth checking 
91,0,problem script 
92,0,horrendous 
93,0,nothing believable 
94,0,suspense feeling frustration retarded girls 
95,1,manna heaven terrific film predictable unpredictable time 
96,1,scenes often funny occasionally touching characters evaluate lives going 
97,1,cast veteran actors nostalgia trip 
98,1,ursula burton portrayal nun touching funny time making fun nuns church 
99,1,looking movie terrific cast good music including shirley jones rendition `` way look tonight '' uplifting ending give one try 
100,1,think disappointed 
101,0,frankly cotton club unfaithful kind embarrassing watch lane gere film bad 
102,0,acting bad dialogs extremely shallow insincere 
103,0,predictable even chick flick 
104,0,politically correct 
105,0,disappointing 
106,1,thing really worth watching scenery house beautiful 
107,0,love lane 've never seen movie lousy 
108,0,hour half wish could bring back 
109,1,terms writing fresh bold 
110,1,acting helps writing along well maybe idiot-savant sister could played better real joy watch 
111,0,directing cinematography quite good 
112,0,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie 
113,0,sometimes embarrassing look away 
114,0,directing seems pretentious 
115,0,scenes `` oh-so-mature '' neighbour-girl misplace 
116,0,generally lines plot weaker average episode 
117,0,scene debated whether sack trumpeter falsely accused murder pure horror really stupid 
118,1,applause given `` prelude '' however 
119,1,really liked 
120,1,great film great director 
121,1,movie edge seat made somewhat afraid go car end night 
122,1,music film really nice 
123,1,'d advise anyone go see 
124,1,brilliant 
125,1,10/10 
126,1,liked movie way much 
127,0,problem thought actor playing villain low rent michael ironside 
128,1,rocked world certainly must see anyone social physical outlets 
129,0,however make fact overall tremendously boring movie 
130,0,chemistry ben affleck sandra bullock film could understand would consider even leaving wife-to-be chick supposedly knocked 
131,0,several moments movie need excruciatingly slow moving 
132,0,poor remake `` best friends wedding '' 
133,0,great disappointment 
134,0,believe actors agreed `` film '' 
135,0,could stand even watch long fear losing i.q 
136,0,guess nobody network aired dribble watched putting 
137,0,imdb ratings go low 1 awful time get negative numbers cases 
138,0,saw `` mirrormask '' last night unsatisfactory experience 
139,0,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict 
140,0,central themes film handled ineptly stereotypically depth imagination 
141,0,pretty pictures world make piece work flawed core 
142,0,hour half waste time following bunch pretty high schoolers whine cry life 
143,0,relate hell barely understand 
144,1,definitely cult classic well worth viewing sharing others 
145,0,movie pure disaster story stupid editing worst seen confuses incredibly 
146,0,fish badly made underwater shots repeated thousand times film 
147,0,truly truly bad film 
148,0,acting terrible writing worse 
149,0,possible way movie could redeemed would mst3k fodder 
150,0,paid much 
151,1,also real treat see anthony quinn playing crazy horse 
152,0,boring 
153,0,plot whatsoever 
154,0,plot 
155,0,horrible 
156,0,worst hour half life oh gosh 
157,0,walk theatre minutes get relief 
158,0,hate movies like 
159,0,yeah movie pretty much sucked 
160,0,plot storyline 
161,0,go see movie bring pillow girlfriend/boyfriend keep occupied 
162,0,awful 
163,0,think 've ever gone movie disliked much 
164,0,good thing tickets cost five dollars would mad 'd paid 7.50 see crap 
165,0,nobody identifies characters cardboard cutouts stereotypes predictably reverse-stereotypes 
166,0,bad film bad writing good actors .... ugly cartoon crafted paul haggis people handle anything bold strokes storytelling .... picture painted crayons 
167,0,crash depressing little nothing provokes emotion teaches nothing already know racism prejudice bad things 
168,1,still like movie empowerment women enough movies like one 
169,0,brain attempt shut-down part primal impulse self-preservation 
170,0,left shattered experience watching 'film took good two hours fully recover 
